md5sum:390,"RR(RP,SDSE)",56.71,58.4,59.37,65.46,74.54
md5sum:624,"RR(RP,SDSE)",29.94,30.92,31.41,33.71,38.18
md5sum:644,"RR(RP,SDSE)",1337.39,1534.9,1563.48,1586.08,1774.37
md5sum:629,"RR(RP,SDSE)",1387.14,1538.55,1548.53,1672.08,1882.37
md5sum:250,"RR(RP,SDSE)",4224.44,4263.28,4430.25,4617.85,6195.67
md5sum:270,"RR(RP,SDSE)",4222.76,4260.81,4427.6,4615.96,6193.61
md5sum:651,"RR(RP,SDSE)",34.71,38.62,39.44,39.74,44.33
md5sum:465,"RR(RP,SDSE)",4224.12,4262.83,4429.65,4617.48,6195.21
md5sum:625,"RR(RP,SDSE)",29.95,30.93,31.43,33.72,38.2
md5sum:637,"RR(RP,SDSE)",37.34,37.82,41.21,41.86,46.9
md5sum:623,"RR(RP,SDSE)",29.92,30.91,31.4,33.69,38.17
md5sum:143,"RR(RP,SDSE)",1387.45,1538.81,1548.73,1672.31,1882.62
md5sum:611,"RR(RP,SDSE)",28.16,29.66,30.01,31.9,37.01
md5sum:610,"RR(RP,SDSE)",28.13,29.65,29.96,31.89,36.92
md5sum:(#targets),OtterSAGE,65,65,65,65,65
md5sum:(#removed),OtterSAGE,0,3,5,5,12
md5sum:(max),OtterSAGE,17.01,20.04,36.9,41.96,NA
md5sum:439,OtterSAGE,36.29,NA,NA,NA,NA
md5sum:391,OtterSAGE,17.01,20.04,NA,NA,NA
md5sum:390,OtterSAGE,14.59,17.87,NA,NA,NA
md5sum:624,OtterSAGE,16.04,NA,NA,NA,NA
md5sum:639,OtterSAGE,16.95,NA,NA,NA,NA
md5sum:629,OtterSAGE,18.52,23.54,NA,NA,NA
md5sum:440,OtterSAGE,38.75,NA,NA,NA,NA
md5sum:688,OtterSAGE,36.9,41.96,NA,NA,NA
md5sum:625,OtterSAGE,16.04,NA,NA,NA,NA
md5sum:637,OtterSAGE,16.51,NA,NA,NA,NA
md5sum:673,OtterSAGE,17.01,20.04,NA,NA,NA
md5sum:623,OtterSAGE,16.04,NA,NA,NA,NA
md5sum:143,OtterSAGE,16.95,23.55,NA,NA,NA
md5sum:611,OtterSAGE,15.51,17.37,34.42,NA,NA
md5sum:610,OtterSAGE,15.51,17.37,34.42,NA,NA
md5sum:(#targets),RP,65,65,65,65,65
md5sum:(#removed),RP,13,13,13,13,13
md5sum:(max),RP,1165.37,1177.85,1581.01,1962.86,3140.98
md5sum:432,RP,32.38,34.4,37.57,38.27,38.76
md5sum:430,RP,31.82,34.01,37.08,37.77,38.14
md5sum:431,RP,31.89,34.38,37.29,38.24,38.68
md5sum:390,RP,24.04,24.34,27.14,27.15,28.08
md5sum:624,RP,21.59,22.27,24.47,25.7,27.5
md5sum:629,RP,1165.25,1177.78,1580.69,1962.76,2496.38
md5sum:651,RP,41.72,47.4,50.69,51.47,53.88
md5sum:625,RP,21.59,22.32,24.48,25.79,27.5
md5sum:637,RP,43.56,44.34,48.92,52.17,53.65
md5sum:623,RP,21.47,22.05,24.42,24.9,26.72
md5sum:143,RP,1165.37,1177.85,1581.01,1962.86,3140.98
md5sum:611,RP,17.69,18.12,19.83,19.92,20.76
md5sum:610,RP,17.61,18.08,19.78,19.86,20.58
mkdir:(#targets),B(SDSE),8,8,8,8,8
mkdir:(#removed),B(SDSE),5,5,5,5,5
mkdir:(max),B(SDSE),25.98,30.91,32.77,34.96,35.55
mkdir:206,B(SDSE),23.85,28.28,28.79,31.41,31.78
mkdir:176,B(SDSE),25.62,26.15,27.19,29.58,29.79
mkdir:177,B(SDSE),25.63,26.15,27.19,29.59,29.79
mkdir:187,B(SDSE),20.97,24.24,24.96,27.51,27.72
mkdir:192,B(SDSE),25.98,30.91,32.77,34.96,35.55
mkdir:(#targets),B(SDSE-pr),8,8,8,8,8
mkdir:(#removed),B(SDSE-pr),5,5,5,5,5
mkdir:(max),B(SDSE-pr),33.33,34.96,43.09,43.36,57.8
mkdir:206,B(SDSE-pr),25.6,26.7,33.33,33.47,57.8
mkdir:176,B(SDSE-pr),27.46,28.46,28.53,29.59,37.14
mkdir:177,B(SDSE-pr),27.46,28.46,28.53,29.59,37.15
mkdir:187,B(SDSE-pr),21.15,22.23,23.99,26.52,33.73
mkdir:192,B(SDSE-pr),32.86,34.96,38.94,43.09,43.36
mkdir:(#targets),B(SDSE-rr),8,8,8,8,8
mkdir:(#removed),B(SDSE-rr),5,5,5,5,5
mkdir:(max),B(SDSE-rr),31.2,32.32,34.71,36.78,45.96
mkdir:206,B(SDSE-rr),28.04,29.21,29.5,34.49,41.48
mkdir:176,B(SDSE-rr),26.07,27.26,31.97,36.56,39.19
mkdir:177,B(SDSE-rr),26.07,27.27,31.97,36.56,39.19
mkdir:187,B(SDSE-rr),23.82,25.01,26.56,31.04,37.08
mkdir:192,B(SDSE-rr),31.2,32.32,34.71,36.78,45.96
mkdir:(#targets),"B(Ph(OtterKLEE,SDSE,3))",8,8,8,8,8
mkdir:(#removed),"B(Ph(OtterKLEE,SDSE,3))",7,7,7,7,7
mkdir:(max),"B(Ph(OtterKLEE,SDSE,3))",28.75,34.15,35.06,38.78,47.81
mkdir:56,"B(Ph(OtterKLEE,SDSE,3))",15.49,16.22,16.49,18.45,19.54
mkdir:206,"B(Ph(OtterKLEE,SDSE,3))",24.96,25.26,25.46,29.8,30.6
mkdir:176,"B(Ph(OtterKLEE,SDSE,3))",23.7,28.03,28.98,33.76,38.37
mkdir:177,"B(Ph(OtterKLEE,SDSE,3))",23.7,28.03,28.98,33.76,38.37
mkdir:188,"B(Ph(OtterKLEE,SDSE,3))",15.48,16.22,16.49,18.44,19.53
mkdir:187,"B(Ph(OtterKLEE,SDSE,3))",15.21,15.82,16.13,18.1,19.07
mkdir:192,"B(Ph(OtterKLEE,SDSE,3))",28.75,34.15,35.06,38.78,47.81
mkdir:(#targets),"B(RR(RP,SDSE))",8,8,8,8,8
mkdir:(#removed),"B(RR(RP,SDSE))",8,8,8,8,8
mkdir:(max),"B(RR(RP,SDSE))",228.37,243.01,255.12,283.06,297.02
mkdir:56,"B(RR(RP,SDSE))",35.33,38.7,38.93,40.22,44.18
mkdir:206,"B(RR(RP,SDSE))",26.33,27.08,27.17,29.79,33.72
mkdir:176,"B(RR(RP,SDSE))",32.86,35.81,37.43,39.01,39.79
mkdir:177,"B(RR(RP,SDSE))",32.87,35.81,37.44,39.01,39.79
mkdir:188,"B(RR(RP,SDSE))",35.32,38.69,38.92,40.21,44.18
mkdir:181,"B(RR(RP,SDSE))",228.37,243.01,255.12,283.06,297.02
mkdir:187,"B(RR(RP,SDSE))",22.43,22.59,24.06,26.2,29.44
mkdir:192,"B(RR(RP,SDSE))",33.85,36.32,38.26,40.22,42.1
mkdir:(#targets),"B(RR(RP,SDSE-rr))",8,8,8,8,8
